Year,Kilometer,Length,Width,Height,Fuel Tank Capacity,Log_Price,Engine_Value,Max_Power_Value,Max_Power_RPM,Max_Torque_Value,Max_Torque_RPM,Make_encoded,Fuel_CNG,Fuel_Others,Fuel_Petrol,Transmission_is_Automatic,Color_Medium,Color_Premium,Color_Rare,Color_Silver,Color_Standard,Owner_First_Owner,Owner_Fourth_Plus_Owner,Owner_New,Owner_Second_Owner,Owner_Third_Owner,Seller_Commercial Registration,Seller_Corporate,Seating_2,Seating_4,Seating_6,Seating_7,Seating_8
2012,0.680807476239707,0.19425948696309245,0.0833620920990924,1550.0,-0.13592009857007442,13.592367006650065,-0.319250078118627,-0.19355585603320272,-0.5555387526963458,-0.32062124641767487,-0.5848231517224705,1.670286102580891,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2016,0.724116736444428,0.384606046983278,2.162655840856856,1545.0,0.7315489697749411,14.603513269536899,0.5488073509504462,0.8715327079800194,-0.7399729108732509,0.7622793289976777,-0.7113376416674063,1.670286102580891,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017,1.7885999577683407,0.6814560393957103,1.0030497117419495,1785.0,1.1986476988837955,13.592367006650065,0.5523005397998175,0.1402778729858672,-0.9705156085943822,0.5456992139146072,-0.8378521316123422,-0.044327127835132804,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
2021,-1.3925424219335965,2.0909269957356558,2.162655840856856,1823.0,2.5332154963376654,16.3727378693319,2.17314016590867,3.128884589918488,-1.1088412272270611,3.180757280758632,-1.1752241047988379,1.6831095393214992,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2019,0.6024615111502686,1.1573224394461743,0.7231447840245582,1835.0,1.8659315976107307,15.067987771349825,1.8762191137120017,0.7125642655899853,-1.2932753854039662,1.4842130459412461,-0.8378521316123422,0.4477814173579392,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2016,-0.03622842164407735,-0.6555019416984503,0.20332134683511724,1640.0,-0.2693768783154614,13.369223455335854,-0.7558986842901909,-0.638667494725296,-0.7399729108732509,-0.32062124641767487,-0.7113376416674063,-0.9855568946563501,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2018,0.9522202838709793,-0.6555019416984503,-0.2365292538636405,1515.0,-1.0033891669150898,13.235692062711331,-0.7558986842901909,-0.877120158310345,-0.7399729108732509,-0.3928146181120317,-0.5004801584258465,-0.9855568946563501,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020,-1.070297836644449,1.7646186071296235,0.7631312022698998,1494.0,1.8659315976107307,15.464169183551656,0.4702106018395641,0.9987074618920448,-0.924407069050156,1.123246187469462,-0.8378521316123422,1.6831095393214992,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2019,0.2983234479148631,1.6195926566380534,2.162655840856856,1835.0,3.5341413444280683,16.775615653875114,2.291908586787338,1.8253433623202178,-0.7399729108732509,2.567113621356599,-0.5004801584258465,2.104670256298474,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2019,-0.7661597734090454,-0.648703850269158,0.0033892556084091736,1647.0,-0.0024633188246874177,13.652991628466498,-0.319250078118627,-0.47969905233526294,-0.9705156085943822,-0.28452456057049647,-0.7113376416674063,-0.11999600926697622,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
