Model,Year,Kilometer,Location,Length,Width,Height,Fuel Tank Capacity,Engine_Value,Max_Power_Value,Max_Power_RPM,Max_Torque_Value,Max_Torque_RPM,Make_encoded,Drivetrain_encoded,Fuel_CNG,Fuel_Others,Fuel_Petrol,Transmission_is_Automatic,Color_Medium,Color_Premium,Color_Rare,Color_Silver,Color_Standard,Owner_First_Owner,Owner_Fourth_Plus_Owner,Owner_New,Owner_Second_Owner,Owner_Third_Owner,Seller_Commercial Registration,Seller_Corporate,Seating_2,Seating_4,Seating_6,Seating_7,Seating_8
Creta 1.4 S Plus,2019,67999.99999999999,Bhopal,4270.0,1780.0,1630.0,60.0,1396.0,88.99999999999999,4000.0,224.0,1500.0,13.332835658211609,13.81,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Swift VXi,2021,14722.000000000007,Bangalore,3845.0,1735.0,1530.0,37.0,1196.9999999999995,88.99999999999999,6000.0,113.0,4400.0,13.0876568212651,13.81,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Kwid 1.0 RXL [2017-2019],2018,47874.0,Bangalore,3679.0,1579.0,1478.0,28.0,999.0000000000003,66.99999999999997,5500.0,91.0,4250.0,13.085894547754995,13.81,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
C-Class Cabriolet C 300,2017,56000.000000000044,Ghaziabad,4686.0,1810.0,1409.0,59.0,1990.999999999999,240.99999999999994,5500.0,370.0,1300.0,14.979287245081439,13.81,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Fortuner 2.8 4x2 AT [2016-2020],2018,50999.999999999985,Mumbai,4795.0,1855.0,1835.0,80.0,2754.999999999999,174.0,3400.0,450.0,1600.0,14.103649799670542,13.81,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Fortuner 2.8 4x4 AT [2016-2020],2017,49000.00000000002,Delhi,4795.0,1855.0,1835.0,80.0,2754.999999999999,174.0,3400.0,450.0,1600.0,14.103649799670542,13.81,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Elantra 1.8 SX AT,2013,62999.99999999995,Mumbai,4530.0,1775.0,1470.0,56.0,1797.0000000000005,146.99999999999997,6500.0,177.0,4700.0,13.332835658211609,13.81,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Elite i20 Asta (O) 1.0 Turbo DCT,2020,16282.000000000015,Pune,3995.0,1775.0,1505.0,37.0,998.0000000000002,118.00000000000004,6000.0,172.0,1500.0,13.332835658211609,13.81,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
City V Petrol,2022,7404.661098281211,Delhi,4440.0,1695.0,1495.0,40.0,1497.0000000000007,118.00000000000004,6600.0,145.0,4600.0,13.247622182348156,13.81,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Terrano XL D THP 110 PS,2014,64999.999999999956,Ahmedabad,4331.0,1822.0,1671.0,50.0,1461.0000000000002,108.00000000000003,3900.0,248.0,2250.0,13.343536423603807,13.81,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Innova 2.5 E,2008,90000.00000000001,Varanasi,4555.0,1770.0,1755.0,55.0,2494.0000000000005,101.99999999999996,5600.0,200.0,3400.0,14.103649799670542,13.81,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
X1 sDrive20d xLine,2018,33999.99999999999,Delhi,4454.0,2035.0,1545.0,63.0,1995.0000000000007,184.00000000000006,4000.0,350.0,1750.0,14.970197610360676,13.81,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
X1 sDrive20d xLine,2018,53000.00000000002,Delhi,4454.0,2035.0,1545.0,63.0,1995.0000000000007,184.00000000000006,4000.0,350.0,1750.0,14.970197610360676,13.81,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
A3 35 TDI Premium,2019,15529.0,Mumbai,4456.0,1796.0,1416.0,50.0,1967.9999999999998,141.00000000000003,3500.0,320.0,1750.0,14.645617786857711,13.81,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Etios Liva G,2013,33999.99999999999,Pune,3775.0,1695.0,1510.0,45.0,1196.9999999999995,79.99999999999997,5600.0,104.0,3100.0,14.103649799670542,13.81,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Santa Fe 2WD AT [2014-2017],2014,87938.00000000001,Bangalore,4690.0,1880.0,1690.0,64.0,2199.0,194.00000000000003,3800.0,437.0,1800.0,13.332835658211609,13.81,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Q3 35 TDI quattro Premium Plus,2017,35999.99999999998,Delhi,4385.0,1831.0,1608.0,64.0,1967.9999999999998,184.00000000000006,3500.0,380.0,1750.0,14.645617786857711,13.81,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Scorpio S10,2015,86999.99999999994,Varanasi,4456.0,1820.0,1995.0,60.0,2179.000000000001,119.99999999999997,4000.0,280.0,1800.0,13.7548285741869,13.81,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Alto LXi CNG,2019,47377.00000000003,Delhi,3545.0,1491.0,1475.0,60.0,998.0000000000002,57.999999999999986,6000.0,78.0,3500.0,13.0876568212651,13.81,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
Venue SX 1.0 Turbo iMT,2021,10700.000000000005,Jaipur,3995.0,1770.0,1605.0,45.0,998.0000000000002,118.00000000000004,6000.0,172.0,1500.0,13.332835658211609,13.81,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Spark LS 1.0 BS-III,2013,66000.0,Lucknow,3495.0,1495.0,1518.0,38.0,995.0,62.00000000000001,5400.0,90.0,4200.0,13.244374287794319,13.81,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Fortuner 2.8 4x2 AT [2016-2020],2018,7799.999999999997,Mumbai,4795.0,1855.0,1835.0,80.0,2754.999999999999,174.0,3400.0,450.0,1600.0,14.103649799670542,13.81,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
X1 sDrive20d xLine,2019,58999.99999999997,Mumbai,4454.0,2035.0,1545.0,63.0,1995.0000000000007,184.00000000000006,4000.0,350.0,1750.0,14.970197610360676,13.81,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Elite i20 Asta 1.2 (O) [2016],2017,36596.99999999998,Hyderabad,3985.0,1734.0,1505.0,45.0,1196.9999999999995,82.00000000000001,6000.0,115.0,4000.0,13.332835658211609,13.81,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Range Rover Sport SDV6 S,2014,70000.00000000001,Mumbai,4879.0,2035.0,1780.0,77.0,2993.0000000000027,289.00000000000006,4000.0,600.0,2000.0,15.278102064185989,13.81,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
Amaze 1.2 SX i-VTEC,2017,38700.000000000015,Meerut,3990.0,1680.0,1505.0,35.0,1198.0,87.0,6000.0,109.0,4500.0,13.247622182348156,13.81,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Q3 35 TDI quattro Premium Plus,2018,35000.00000000001,Pune,4385.0,1831.0,1608.0,64.0,1967.9999999999998,184.00000000000006,3500.0,380.0,1750.0,14.645617786857711,13.81,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Venue SX 1.5 CRDi,2022,7404.661098281211,Mumbai,3995.0,1770.0,1605.0,45.0,1493.0,98.99999999999999,4000.0,240.0,1500.0,13.332835658211609,13.81,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Jazz V Petrol,2017,24002.999999999978,Bangalore,3955.0,1694.0,1544.0,40.0,1198.9999999999998,88.99999999999999,6000.0,110.0,4800.0,13.247622182348156,13.81,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Teana 250XL,2013,32999.99999999999,Pune,4370.0,1775.0,1550.0,50.0,1497.9999999999998,117.00000000000003,4200.0,200.0,1900.0,13.343536423603807,13.81,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Wagon R LXI CNG (O),2015,67579.99999999996,Pune,3599.0,1495.0,1700.0,35.0,998.0000000000002,57.999999999999986,6200.0,77.0,3500.0,13.0876568212651,13.81,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Cooper S,2017,10500.000000000005,Mumbai,3850.0,1727.0,1414.0,44.0,1997.999999999999,189.00000000000003,4200.0,280.0,1250.0,14.516270808655126,13.81,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Innova 2.4 VX 8 STR [2016-2020],2019,71062.99999999996,Navi Mumbai,4735.0,1830.0,1795.0,55.0,2392.999999999999,147.99999999999994,3400.0,343.0,1400.0,14.103649799670542,13.81,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
Creta E Plus 1.4 CRDI,2018,62999.99999999995,Delhi,4270.0,1780.0,1630.0,60.0,1396.0,88.99999999999999,4000.0,224.0,1500.0,13.332835658211609,13.81,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Q2 Premium 40 TFSI quattro,2022,7404.661098281211,Gurgaon,4318.0,1805.0,1548.0,55.0,1983.9999999999993,188.0,4200.0,320.0,1500.0,14.645617786857711,13.81,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Nexon XM,2019,32999.99999999999,Delhi,3994.0,1811.0,1607.0,44.0,1198.0,108.00000000000003,5000.0,170.0,1750.0,13.539726337744348,13.81,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Verna Fluidic 1.6 CRDi SX Opt,2014,63999.99999999997,Ahmedabad,4370.0,1700.0,1475.0,43.0,1581.9999999999993,126.0,4000.0,260.0,1900.0,13.332835658211609,13.81,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Tigor EV XZ Plus,2021,17999.999999999993,Hyderabad,3993.0,1677.0,1532.0,50.0,1497.9999999999998,117.00000000000003,4200.0,200.0,1900.0,13.539726337744348,13.81,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
XUV500 W10 AWD,2015,121000.00000000003,Kanpur,4585.0,1890.0,1785.0,70.0,2179.000000000001,138.00000000000006,3750.0,330.0,1600.0,13.7548285741869,13.81,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
